OBS,DX_CD,DX_DSC
369,C254,Malignant neoplasm of endocrine pancreas
370,C257,Malignant neoplasm of other parts of pancreas
371,C258,Malignant neoplasm of overlapping sites of pancreas
372,C259,"Malignant neoplasm of pancreas, unspecified"
373,C260,"Malignant neoplasm of intestinal tract, part unspecified"
374,C261,Malignant neoplasm of spleen
375,C269,Malignant neoplasm of ill-defined sites within the digestive system
376,C300,Malignant neoplasm of nasal cavity
377,C301,Malignant neoplasm of middle ear
378,C310,Malignant neoplasm of maxillary sinus
379,C311,Malignant neoplasm of ethmoidal sinus
380,C312,Malignant neoplasm of frontal sinus
381,C313,Malignant neoplasm of sphenoid sinus
382,C318,Malignant neoplasm of overlapping sites of accessory sinuses
383,C319,"Malignant neoplasm of accessory sinus, unspecified"
384,C320,Malignant neoplasm of glottis
385,C321,Malignant neoplasm of supraglottis
386,C322,Malignant neoplasm of subglottis
387,C323,Malignant neoplasm of laryngeal cartilage
388,C328,Malignant neoplasm of overlapping sites of larynx
389,C329,"Malignant neoplasm of larynx, unspecified"
390,C33,Malignant neoplasm of trachea
391,C3400,Malignant neoplasm of unspecified main bronchus
392,C3401,Malignant neoplasm of right main bronchus
393,C3402,Malignant neoplasm of left main bronchus
394,C3410,"Malignant neoplasm of upper lobe, unspecified bronchus or lung"
395,C3411,"Malignant neoplasm of upper lobe, right bronchus or lung"
396,C3412,"Malignant neoplasm of upper lobe, left bronchus or lung"
397,C342,"Malignant neoplasm of middle lobe, bronchus or lung"
398,C3430,"Malignant neoplasm of lower lobe, unspecified bronchus or lung"
399,C3431,"Malignant neoplasm of lower lobe, right bronchus or lung"
400,C3432,"Malignant neoplasm of lower lobe, left bronchus or lung"
401,C3480,Malignant neoplasm of overlapping sites of unspecified bronchus and lung
402,C3481,Malignant neoplasm of overlapping sites of right bronchus and lung
403,C3482,Malignant neoplasm of overlapping sites of left bronchus and lung
404,C3490,Malignant neoplasm of unspecified part of unspecified bronchus or lung
405,C3491,Malignant neoplasm of unspecified part of right bronchus or lung
406,C3492,Malignant neoplasm of unspecified part of left bronchus or lung
407,C37,Malignant neoplasm of thymus
408,C380,Malignant neoplasm of heart
409,C381,Malignant neoplasm of anterior mediastinum
410,C382,Malignant neoplasm of posterior mediastinum
411,C383,"Malignant neoplasm of mediastinum, part unspecified"
412,C384,Malignant neoplasm of pleura
413,C388,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura"
414,C390,"Malignant neoplasm of upper respiratory tract, part unspecified"
415,C399,"Malignant neoplasm of lower respiratory tract, part unspecified"
416,C4000,Malignant neoplasm of scapula and long bones of unspecified upper limb
417,C4001,Malignant neoplasm of scapula and long bones of right upper limb
418,C4002,Malignant neoplasm of scapula and long bones of left upper limb
419,C4010,Malignant neoplasm of short bones of unspecified upper limb
420,C4011,Malignant neoplasm of short bones of right upper limb
421,C4012,Malignant neoplasm of short bones of left upper limb
422,C4020,Malignant neoplasm of long bones of unspecified lower limb
423,C4021,Malignant neoplasm of long bones of right lower limb
424,C4022,Malignant neoplasm of long bones of left lower limb
425,C4030,Malignant neoplasm of short bones of unspecified lower limb
426,C4031,Malignant neoplasm of short bones of right lower limb
427,C4032,Malignant neoplasm of short bones of left lower limb
428,C4080,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb
